hyperedge,nodes,timestamp
1,"[1, 2]",3547497600000.0
6,"[11, 12, 13]",3499459200000.0
7,"[11, 12, 13]",3499459200000.0
8,"[14, 15]",3193689600000.0
9,"[16, 17]",3247257600000.0
10,"[16, 17]",3247257600000.0
11,"[16, 17]",3247257600000.0
12,"[18, 14, 15]",3385065600000.0
13,"[18, 14, 15]",3281212800000.0
14,"[18, 14, 15]",3281212800000.0
15,"[18, 14, 15]",3281212800000.0
16,"[18, 14, 15]",3281212800000.0
17,"[17, 19, 15]",3302294400000.0
18,"[16, 17]",3247257600000.0
19,"[16, 17]",3247257600000.0
20,"[17, 19, 15]",3302294400000.0
21,"[16, 17]",3317328000000.0
22,"[16, 17]",3317328000000.0
23,"[17, 19, 15]",3472502400000.0
24,[18],3076012800000.0
25,[18],3053116800000.0
26,[18],3053116800000.0
27,[18],3053116800000.0
28,"[20, 21]",3093033600000.0
29,"[20, 21]",3093033600000.0
30,[18],3156451200000.0
31,[18],3192393600000.0
32,[18],3168806400000.0
33,[18],3168806400000.0
34,[18],3208291200000.0
35,[18],3208291200000.0
36,"[22, 23]",3278793600000.0
37,"[22, 23]",3278793600000.0
38,"[22, 23]",3278793600000.0
39,"[22, 23]",3408652800000.0
40,"[24, 25, 26]",3456172800000.0
41,"[24, 25, 26]",3456172800000.0
42,"[27, 28]",3041107200000.0
43,"[27, 28]",3041107200000.0
44,"[29, 30]",3043699200000.0
45,"[29, 30]",3154809600000.0
46,"[29, 30]",3154809600000.0
47,"[29, 30]",3096921600000.0
48,[18],3289766400000.0
49,"[32, 31]",3284841600000.0
50,"[32, 31]",3398112000000.0
54,"[29, 30]",3043699200000.0
58,"[37, 38]",3247257600000.0
59,"[29, 39]",2974060800000.0
60,"[29, 30]",3398025600000.0
61,"[29, 30]",3398025600000.0
62,"[29, 30]",3398025600000.0
68,"[48, 49, 50, 47]",3517084800000.0
76,"[56, 57]",3565641600000.0
77,"[56, 57]",3565641600000.0
78,"[58, 59, 60]",3321043200000.0
79,"[58, 59, 60]",3321043200000.0
80,"[58, 59, 60]",3321043200000.0
81,"[59, 60, 61]",2981404800000.0
82,"[59, 60, 61]",2981404800000.0
83,"[59, 60, 61]",2981404800000.0
84,"[59, 60, 61]",2981404800000.0
85,"[59, 60, 61]",3050956800000.0
86,"[64, 62, 63]",3439756800000.0
87,"[64, 62, 63]",3520886400000.0
88,"[65, 66]",3479068800000.0
89,"[65, 66]",3479068800000.0
91,"[72, 73, 71]",3510000000000.0
92,"[72, 73, 71]",3510000000000.0
93,"[65, 66]",3479068800000.0
94,"[65, 66]",3479068800000.0
95,"[64, 62, 63]",3520886400000.0
96,"[64, 62, 63]",3520886400000.0
97,"[74, 75, 76, 77, 78, 79, 53]",3265401600000.0
98,"[74, 75, 76, 77, 78, 79, 53]",3265401600000.0
99,"[74, 75, 76, 77, 78, 79, 53]",3265401600000.0
105,"[83, 84]",3452803200000.0
106,"[83, 84]",3452803200000.0
107,"[83, 84]",3452803200000.0
111,"[59, 85, 86, 87]",3194812800000.0
112,"[59, 85, 86, 87]",3460406400000.0
115,"[59, 87]",3247862400000.0
