hyperedge,nodes,timestamp
1,"[2, 5]",0.0
2,"[1, 2]",0.0
3,"[8, 11]",0.0
4,"[11, 12]",0.0
5,"[6, 7]",0.0
6,"[9, 10]",0.0
7,"[8, 6]",0.0
8,"[3, 4]",0.0
9,"[2, 5]",20.0
10,"[1, 2]",20.0
11,"[16, 15]",20.0
12,"[11, 12]",20.0
13,"[6, 7]",20.0
14,"[9, 10]",20.0
15,"[8, 6]",20.0
16,"[13, 14]",20.0
17,"[17, 2, 1]",40.0
18,"[17, 2, 5]",40.0
19,"[20, 21]",40.0
20,"[9, 10]",40.0
21,"[18, 19]",40.0
22,"[8, 6]",40.0
23,"[20, 22]",40.0
24,"[3, 4]",40.0
25,"[13, 14]",40.0
26,"[17, 2, 5]",60.0
27,"[17, 2, 1]",60.0
28,"[11, 6]",60.0
29,"[20, 21]",60.0
30,"[6, 7]",60.0
31,"[9, 10]",60.0
32,"[25, 26]",60.0
33,"[8, 6]",60.0
34,"[24, 23]",60.0
35,"[29, 30]",80.0
36,"[2, 5]",80.0
37,"[1, 2]",80.0
38,"[16, 15]",80.0
39,"[9, 10]",80.0
40,"[25, 31]",80.0
41,"[8, 6]",80.0
42,"[27, 28]",80.0
43,"[42, 47]",100.0
44,"[32, 33, 34]",100.0
45,"[40, 39]",100.0
46,"[45, 46]",100.0
47,"[43, 44]",100.0
48,"[9, 10]",100.0
49,"[34, 35]",100.0
50,"[41, 42]",100.0
51,"[29, 30]",100.0
52,"[19, 31]",100.0
53,"[36, 37]",100.0
54,"[38, 23]",100.0
55,"[32, 33, 48]",120.0
56,"[33, 27]",120.0
57,"[54, 55]",120.0
58,"[1, 2]",120.0
59,"[50, 35]",120.0
60,"[50, 36]",120.0
61,"[32, 49]",120.0
62,"[2, 5]",120.0
63,"[40, 39]",120.0
64,"[16, 56, 15]",120.0
65,"[45, 46]",120.0
66,"[9, 10]",120.0
67,"[25, 19]",120.0
68,"[25, 57]",120.0
69,"[34, 35]",120.0
70,"[34, 27]",120.0
71,"[29, 30]",120.0
72,"[49, 27]",120.0
73,"[51, 36]",120.0
74,"[52, 53]",120.0
75,"[38, 23]",120.0
76,"[32, 33, 34]",140.0
77,"[49, 34, 33]",140.0
78,"[49, 27, 33]",140.0
79,"[32, 34, 48]",140.0
80,"[32, 48, 61]",140.0
81,"[16, 56]",140.0
82,"[59, 60, 62]",140.0
83,"[61, 62]",140.0
84,"[45, 46]",140.0
85,"[6, 7]",140.0
86,"[9, 10]",140.0
87,"[58, 59, 60]",140.0
88,"[29, 30]",140.0
89,"[3, 4]",140.0
90,"[52, 53]",140.0
91,"[38, 23]",140.0
92,"[20, 63]",140.0
93,"[68, 13]",160.0
94,"[17, 2, 5]",160.0
95,"[40, 39]",160.0
96,"[45, 46]",160.0
97,"[25, 57]",160.0
98,"[65, 66]",160.0
99,"[20, 21, 22]",160.0
100,"[70, 47]",160.0
101,"[33, 34, 27]",160.0
102,"[43, 69]",160.0
103,"[35, 37]",160.0
104,"[17, 1]",160.0
105,"[64, 50]",160.0
106,"[32, 48, 37]",160.0
107,"[3, 4]",160.0
108,"[67, 13]",160.0
109,"[32, 48, 61]",160.0
110,"[9, 10]",160.0
111,"[6, 7]",160.0
112,"[51, 60]",160.0
113,"[36, 61, 62]",160.0
