hyperedge,nodes,timestamp
2,"[3, 4]",2797.0
3,"[3, 5]",3304.0
4,"[6, 7]",4523.0
5,"[8, 6]",7926.0
6,"[6, 7]",8061.0
7,"[9, 10]",19403.0
8,"[11, 12]",19560.0
9,"[13, 14]",21077.0
10,"[13, 15]",21280.0
12,"[18, 19]",21799.0
13,"[20, 13]",22038.0
14,"[21, 22]",23175.0
16,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 24, 25, 26, 27, 28, 29, 30, 31]",23553.0
17,"[42, 43]",23646.0
19,"[46, 47]",23712.0
20,"[48, 49]",23813.0
21,"[50, 51]",24004.0
22,"[42, 52]",24076.0
25,"[61, 62]",24710.0
26,[55],24832.0
29,"[5, 63]",25431.0
30,"[67, 68]",25503.0
31,"[69, 70]",25597.0
32,"[67, 68]",25608.0
33,"[42, 43]",25654.0
34,"[72, 71]",25656.0
35,"[73, 22]",25811.0
36,"[72, 71]",25870.0
37,"[72, 71]",25991.0
39,"[49, 76, 77]",26225.0
40,"[78, 79]",26272.0
41,"[80, 78]",26402.0
42,"[80, 78]",26484.0
44,"[20, 63]",27094.0
45,"[42, 52]",27119.0
46,"[83, 84]",27133.0
48,"[83, 85]",27176.0
49,"[73, 22]",27187.0
51,"[83, 87]",27254.0
52,"[89, 90]",27343.0
53,"[91, 92]",27362.0
54,"[21, 93]",27408.0
56,"[89, 90, 97]",27598.0
58,"[104, 105]",27718.0
59,"[104, 105]",27822.0
60,"[42, 52]",28102.0
61,"[106, 83, 84, 85]",28137.0
63,"[108, 63]",28193.0
65,"[114, 115]",28326.0
66,"[116, 117]",28393.0
67,"[118, 119]",28544.0
68,"[120, 77]",28555.0
69,"[121, 18]",28632.0
70,"[106, 83, 84, 85, 87, 122]",28784.0
71,"[123, 124]",28792.0
72,"[13, 15]",29181.0
73,"[125, 126]",29445.0
74,"[14, 127]",29586.0
76,"[132, 133]",29693.0
77,"[41, 27, 30]",29736.0
79,"[19, 134]",29824.0
81,"[135, 7]",29871.0
82,"[116, 63]",29928.0
83,"[136, 137]",29929.0
84,"[138, 139]",29998.0
86,"[140, 141]",30009.0
87,"[142, 143]",30072.0
88,"[144, 52, 134]",30076.0
89,"[145, 146]",30105.0
90,"[89, 90]",30114.0
91,"[145, 146]",30153.0
92,"[147, 148]",30274.0
93,"[83, 84]",30276.0
94,"[149, 150]",30281.0
95,"[104, 151]",30392.0
96,"[50, 85]",30463.0
97,"[152, 29]",30470.0
98,"[153, 154]",30512.0
99,"[153, 154]",30668.0
100,"[155, 156]",30698.0
101,"[13, 14]",30809.0
102,"[157, 158]",30899.0
104,"[160, 159]",30953.0
105,"[3, 4, 5]",30970.0
106,"[19, 134]",30981.0
107,"[13, 15]",31082.0
108,"[40, 24, 36, 30]",31085.0
109,"[161, 162]",31232.0
110,"[163, 72, 50, 51, 85]",31258.0
111,"[163, 72, 50, 51, 85]",31286.0
112,"[108, 63]",31307.0
115,"[140, 165]",31377.0
116,"[120, 77]",31435.0
118,"[168, 169]",31471.0
119,"[123, 124]",31491.0
120,"[170, 171, 116]",31576.0
121,"[41, 172]",31652.0
122,"[83, 84]",31682.0
123,"[104, 124, 173, 62]",31721.0
124,"[25, 97]",31773.0
126,"[174, 22]",32006.0
127,"[176, 175]",32126.0
129,"[123, 180]",32305.0
131,"[131, 181]",32748.0
134,"[184, 130]",32914.0
135,[185],32967.0
136,"[180, 182]",32993.0
139,"[187, 71]",33082.0
141,"[176, 138, 175]",33315.0
142,"[189, 190]",33352.0
145,"[67, 68]",33408.0
149,[209],33491.0
150,"[138, 175]",33526.0
151,"[124, 62]",33541.0
152,"[210, 211]",33587.0
154,"[212, 55]",33650.0
155,[209],33678.0
156,"[116, 213]",33869.0
157,"[42, 52]",33901.0
159,[138],34075.0
160,"[209, 138]",34082.0
161,"[116, 213]",34085.0
163,"[26, 42, 37, 31]",34225.0
