panel,profile,structure,q,epoch,n,empirical_mean,empirical_sd,theory_mean,theory_sd,observable_mean,observable_sd,structure_count
a,hypergraph,1-hop hyperedges,1,1,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,2,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,3,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,4,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,5,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,6,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,7,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,8,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,9,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,10,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,11,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,12,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,13,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,14,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,15,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,16,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,17,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,18,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,19,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,20,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,21,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,22,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,23,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,24,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,25,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,26,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,27,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,28,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,29,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,30,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,31,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,32,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,33,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,34,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,35,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,36,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,37,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,38,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,39,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,40,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,41,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,42,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
a,hypergraph,1-hop hyperedges,1,43,10,0.5463320463320464,0.0,0.5463320463320464,0.0,,,
