epoch,expected_coverage_all,observable_ceiling_all,entropy_bits_all,entropy_nats_all,normalized_entropy_bits_all,normalized_entropy_nats_all,expected_coverage_rank0,observable_ceiling_rank0,entropy_bits_rank0,entropy_nats_rank0,normalized_entropy_bits_rank0,normalized_entropy_nats_rank0,expected_coverage_rank1,observable_ceiling_rank1,entropy_bits_rank1,entropy_nats_rank1,normalized_entropy_bits_rank1,normalized_entropy_nats_rank1,expected_coverage_rank2,observable_ceiling_rank2,entropy_bits_rank2,entropy_nats_rank2,normalized_entropy_bits_rank2,normalized_entropy_nats_rank2,expected_coverage_rank1_2,observable_ceiling_rank1_2,entropy_bits_rank1_2,entropy_nats_rank1_2,normalized_entropy_bits_rank1_2,normalized_entropy_nats_rank1_2
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.8301205201802155,1.0,828.3702845739099,574.1825272120452,0.08600189831539762,0.05961197334012097,1.0,1.0,0.0,0.0,0.0,0.0,0.783082817565597,1.0,648.1967351910235,449.29573944581944,0.12281105251819317,0.08512613479458496,0.7014639971230152,1.0,180.17354938288776,124.88678776622672,0.10946145162994396,0.07587289657729449,0.7636800765996223,1.0,828.3702845739099,574.1825272120452,0.11963753387838098,0.08292641929694472
2,0.8469062763601607,1.0,1223.3654754839977,847.9723301261098,0.12701053524543165,0.0880369944067805,1.0,1.0,0.0,0.0,0.0,0.0,0.8071847267249448,1.0,954.7257373941904,661.7654530827979,0.1808877865468341,0.1253818592426673,0.7224059940744681,1.0,268.63973808981183,186.20687704331522,0.16320761730851266,0.11312689978330208,0.7870307992346808,1.0,1223.3654754839977,847.9723301261098,0.1766847884870014,0.12246856298759529
3,0.8618424361907122,1.0,1453.6288510106294,1007.5787396586105,0.1509166165916351,0.10460742729013814,1.0,1.0,0.0,0.0,0.0,0.0,0.8286086459777225,1.0,1131.407046089844,784.2316040628315,0.21436283556078894,0.14858499508579603,0.7411117326356911,1.0,322.2218049207709,223.34713559576906,0.1957605133176008,0.13569084787106261,0.8078085420838871,1.0,1453.6288510106294,1007.5787396586105,0.2099406197300158,0.14551974865086806
4,0.8751343479466732,1.0,1584.72335923985,1098.4465284245873,0.16452692683137976,0.1140413754593633,1.0,1.0,0.0,0.0,0.0,0.0,0.8476521297579703,1.0,1229.978147590391,852.5558851526238,0.23303867896748598,0.16153010328772713,0.7578287354555888,1.0,354.7452116495036,245.89064327199446,0.21551956965340435,0.14938678206074998,0.8262989658322347,1.0,1584.72335923985,1098.4465284245873,0.22887396869437462,0.15864334610407096
5,0.8869645451710265,1.0,1649.9975556167658,1143.6911536065627,0.17130373293363432,0.11873869950234248,1.0,1.0,0.0,0.0,0.0,0.0,0.8645796708959761,1.0,1276.7643026444941,884.9855766176158,0.24190305089891895,0.1676744176994346,0.7727770328664344,1.0,373.23325297223585,258.7055769889221,0.22675167252262202,0.15717228249630746,0.8427559935134619,1.0,1649.9975556167658,1143.6911536065627,0.2383012067615202,0.1651778095907803
6,0.8974952816260917,1.0,1669.8011080568604,1157.4179301454853,0.1733597495906209,0.120163821651317,1.0,1.0,0.0,0.0,0.0,0.0,0.8796263741297551,1.0,1287.831678397651,892.6568969171141,0.24399993906738368,0.16912786982135544,0.7861522174760707,1.0,381.9694296591804,264.7610332283512,0.23205919177349962,0.1608511745008209,0.8574053368894345,1.0,1669.8011080568606,1157.4179301454853,0.2411613385408522,0.16716030186965414
7,0.9068707845843553,1.0,1657.700341382052,1149.0303178422282,0.1721034407581034,0.11929301472614495,1.0,1.0,0.0,0.0,0.0,0.0,0.8930012214486934,1.0,1273.8907666423936,882.9937932395223,0.2413586143695327,0.1672970430540967,0.7981281593621506,1.0,383.80957473966856,266.03652460271286,0.2331771413971255,0.16162607813044524,0.8704476310104636,1.0,1657.700341382052,1149.0303178422282,0.23941368304189084,0.16594891938795903
8,0.9152192577530734,1.0,1623.2059719998567,1125.1206429597662,0.1685222147009818,0.11681069798170331,1.0,1.0,0.0,0.0,0.0,0.0,0.9048899746210736,1.0,1242.4490633434477,861.2000652458556,0.2354014898339234,0.16316787897799462,0.8088594195792833,1.0,380.75690865639467,263.92057771390057,0.23132254474872094,0.1603405696925277,0.8820612204906969,1.0,1623.2059719998567,1125.1206429597662,0.23443182726745476,0.16249576010395236
9,0.922654661652522,1.0,1573.1931069953137,1090.454366590142,0.16332984914818455,0.1132116244383453,1.0,1.0,0.0,0.0,0.0,0.0,0.9154577552187045,1.0,1198.9320829632322,831.0363929888268,0.22715651439242748,0.15745289749693575,0.8184833954998745,1.0,374.2610240321247,259.4179736013451,0.22737607778379385,0.15760508724261552,0.8924046361983109,1.0,1573.1931069953137,1090.454366590142,0.22720870984912098,0.15748907663058087
