epoch,expected_coverage_all,observable_ceiling_all,entropy_bits_all,entropy_nats_all,normalized_entropy_bits_all,normalized_entropy_nats_all,expected_coverage_rank0,observable_ceiling_rank0,entropy_bits_rank0,entropy_nats_rank0,normalized_entropy_bits_rank0,normalized_entropy_nats_rank0,expected_coverage_rank1,observable_ceiling_rank1,entropy_bits_rank1,entropy_nats_rank1,normalized_entropy_bits_rank1,normalized_entropy_nats_rank1,expected_coverage_rank2,observable_ceiling_rank2,entropy_bits_rank2,entropy_nats_rank2,normalized_entropy_bits_rank2,normalized_entropy_nats_rank2,expected_coverage_rank1_2,observable_ceiling_rank1_2,entropy_bits_rank1_2,entropy_nats_rank1_2,normalized_entropy_bits_rank1_2,normalized_entropy_nats_rank1_2
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.15427981800637172,1.0,359230.6429455743,248999.70732846123,0.2727063668662504,0.18902564931408752,1.0,1.0,0.0,0.0,0.0,0.0,0.8140709864847976,1.0,1019.9135581069236,706.950207216676,0.19323864306686692,0.13394282061702842,0.14987088613906285,1.0,358210.72938748903,248292.75712125955,0.2735907514946903,0.1896386580258212,0.1525376462174412,1.0,359230.6429455743,248999.70732846123,0.27326813818153306,0.1894150395173952
2,0.2074041160058536,1.0,514305.46351945674,356489.38198508724,0.3904298733142967,0.27062536589418135,1.0,1.0,0.0,0.0,0.0,0.0,0.8583397992265119,1.0,1263.8124601895706,876.008043536929,0.239449120915038,0.16597348304981602,0.20314075866186215,1.0,513041.65105926414,355613.3739415482,0.39184602622425835,0.2716069682909631,0.20577137953039218,1.0,514305.4635194567,356489.3819850872,0.39123415341225637,0.2711828503764626
3,0.25202719584669325,1.0,601709.2621430238,417073.07857124193,0.4567815970355762,0.31661687611687866,1.0,1.0,0.0,0.0,0.0,0.0,0.892068418458274,1.0,1275.592948667064,884.1736559107225,0.241681119489781,0.16752058656891294,0.2479000495168898,1.0,600433.6691943726,416188.9049153422,0.458593462732108,0.317872765715983,0.25048638229391523,1.0,601709.2621430238,417073.07857124193,0.45772256075971784,0.31726910246927664
4,0.28997863519419803,1.0,654019.5072283347,453331.7774665249,0.49649239890405583,0.34414230646978994,1.0,1.0,0.0,0.0,0.0,0.0,0.9177664140634453,1.0,1187.405101718948,823.0464984389838,0.22497254674477982,0.15593908647953464,0.28597937929541206,1.0,652832.10212655,452508.7309680404,0.4986138347281436,0.34561277372999527,0.2885160010776287,1.0,654019.5072283347,453331.7774665249,0.49751516632663306,0.3448512348251179
5,0.3226625553915906,1.0,686314.3439217365,475716.85246720025,0.5210087027220761,0.3611357133390018,1.0,1.0,0.0,0.0,0.0,0.0,0.9373458392864417,1.0,1058.4732631547213,733.67775805378,0.2005443848341647,0.1390067749249299,0.3187837259061557,1.0,685255.8706585797,474983.1747091451,0.5233781493374137,0.36277808857991034,0.3212672496951629,1.0,686314.3439217365,475716.85246720025,0.522081973388857,0.36187964787565857
6,0.35115837788528687,1.0,706668.9011300964,489825.5564077211,0.5364606622207096,0.37184619549960607,1.0,1.0,0.0,0.0,0.0,0.0,0.9522634965991652,1.0,918.4376870118967,636.6124932722937,0.17401244543613048,0.12061623593639517,0.3473932220613746,1.0,705750.4634430943,489188.94391445554,0.5390313126334454,0.3736280345853991,0.34982177318603824,1.0,706668.9011300964,489825.5564077211,0.5375657637087177,0.37261219348025143
7,0.37629762013414253,1.0,719691.7769789476,498852.32608513447,0.5463468487936867,0.3786987778491547,1.0,1.0,0.0,0.0,0.0,0.0,0.96362933074223,1.0,782.3754858290143,542.3013621415987,0.14823332433289396,0.10274751082637339,0.37263998264923276,1.0,718909.4014930986,498310.024722979,0.5490817199903907,0.38059444610834464,0.3750128019236197,1.0,719691.7769789477,498852.3260851345,0.5474723156882603,0.3794788920539419
8,0.3987224344152351,1.0,728096.0319681403,504677.7117356002,0.5527268553140868,0.38312106138072405,1.0,1.0,0.0,0.0,0.0,0.0,0.9722890138988409,1.0,657.5833365299076,455.8020356989071,0.1245894915744425,0.08635885481222189,0.39516666767828384,1.0,727438.4486316063,504221.9096998985,0.5555959537213233,0.38510976885244913,0.39748381100956903,1.0,728096.0319681402,504677.71173560014,0.5538654649331799,0.3839102854279569
9,0.418930234834382,1.0,733502.1321902106,508424.9348623528,0.5568308424861917,0.3859657285181228,1.0,1.0,0.0,0.0,0.0,0.0,0.9788868677324355,1.0,547.0639768257505,379.1958531226802,0.10364986298327974,0.07184461029228499,0.41547112784047785,1.0,732955.0682133847,508045.73900923,0.5598093844571079,0.38803029648744286,0.4177332392159917,1.0,733502.1321902105,508424.9348623527,0.5579779062616658,0.38676081254001504
