epoch,observed_count_all,total_count_all,realized_coverage_all,new_count_all,observed_count_rank0,total_count_rank0,realized_coverage_rank0,new_count_rank0,observed_count_rank1,total_count_rank1,realized_coverage_rank1,new_count_rank1,observed_count_rank2,total_count_rank2,realized_coverage_rank2,new_count_rank2,observed_count_rank1_2,total_count_rank1_2,realized_coverage_rank1_2,new_count_rank1_2
0,0,1317280,0.0,0,0,2708,0.0,0,0,5278,0.0,0,0,1309294,0.0,0,0,1314572,0.0,0
1,693192,1317280,0.5262298068747723,693192,2708,2708,1.0,2708,4701,5278,0.8906782872300114,4701,685783,1309294,0.5237807551245175,685783,690484,1314572,0.5252538468794407,690484
2,790901,1317280,0.600404621644601,97709,2708,2708,1.0,0,5019,5278,0.9509283819628647,318,783174,1309294,0.5981651179948888,97391,788193,1314572,0.599581460733988,97709
3,850581,1317280,0.645710099599174,59680,2708,2708,1.0,0,5143,5278,0.9744221295945434,124,842730,1309294,0.643652227841875,59556,847873,1314572,0.644980267341766,59680
4,861938,1317280,0.6543316531033645,11357,2708,2708,1.0,0,5210,5278,0.9871163319439181,67,854020,1309294,0.6522751956397875,11290,859230,1314572,0.6536195811260243,11357
5,1079723,1317280,0.8196609680553869,217785,2708,2708,1.0,0,5242,5278,0.993179234558545,32,1071773,1309294,0.8185884912021287,217753,1077015,1314572,0.8192894721628028,217785
6,1085134,1317280,0.8237686748451354,5411,2708,2708,1.0,0,5261,5278,0.9967790829859795,19,1077165,1309294,0.8227067411902903,5392,1082426,1314572,0.8234056407712929,5411
7,1110366,1317280,0.8429232964897364,25232,2708,2708,1.0,0,5270,5278,0.9984842743463433,9,1102388,1309294,0.841971321949081,25223,1107658,1314572,0.8425997206695411,25232
8,1117327,1317280,0.8482076703510264,6961,2708,2708,1.0,0,5273,5278,0.9990526714664646,3,1109346,1309294,0.8472856363811336,6958,1114619,1314572,0.8478949802673418,6961
9,1138051,1317280,0.8639400886675573,20724,2708,2708,1.0,0,5277,5278,0.9998105342932929,4,1130066,1309294,0.8631109590359385,20720,1135343,1314572,0.8636598071463564,20724
10,1142911,1317280,0.8676295092918742,4860,2708,2708,1.0,0,5278,5278,1.0,1,1134925,1309294,0.8668221194017539,4859,1140203,1314572,0.8673568279257431,4860
11,1149588,1317280,0.8726982873800558,6677,2708,2708,1.0,0,5278,5278,1.0,0,1141602,1309294,0.8719218143518568,6677,1146880,1314572,0.8724360476261476,6677
12,1151817,1317280,0.874390410542937,2229,2708,2708,1.0,0,5278,5278,1.0,0,1143831,1309294,0.8736242585698858,2229,1149109,1314572,0.8741316565391626,2229
13,1156085,1317280,0.8776304202599295,4268,2708,2708,1.0,0,5278,5278,1.0,0,1148099,1309294,0.8768840306302481,4268,1153377,1314572,0.877378340631019,4268
14,1214391,1317280,0.9218928397910846,58306,2708,2708,1.0,0,5278,5278,1.0,0,1206405,1309294,0.9214164274792369,58306,1211683,1314572,0.921731940129563,58306
15,1218650,1317280,0.9251260172476619,4259,2708,2708,1.0,0,5278,5278,1.0,0,1210664,1309294,0.9246693256060137,4259,1215942,1314572,0.924971777886643,4259
16,1220567,1317280,0.9265812887161423,1917,2708,2708,1.0,0,5278,5278,1.0,0,1212581,1309294,0.9261334734597424,1917,1217859,1314572,0.9264300471940677,1917
17,1222106,1317280,0.927749605247176,1539,2708,2708,1.0,0,5278,5278,1.0,0,1214120,1309294,0.9273089161028768,1539,1219398,1314572,0.9276007704408735,1539
18,1232640,1317280,0.9357463864933803,10534,2708,2708,1.0,0,5278,5278,1.0,0,1224654,1309294,0.9353544734796004,10534,1229932,1314572,0.9356140249450011,10534
19,1233411,1317280,0.9363316834689663,771,2708,2708,1.0,0,5278,5278,1.0,0,1225425,1309294,0.9359433404567652,771,1230703,1314572,0.9362005276242001,771
20,1233734,1317280,0.9365768857038747,323,2708,2708,1.0,0,5278,5278,1.0,0,1225748,1309294,0.9361900382954478,323,1231026,1314572,0.9364462349722952,323
21,1237924,1317280,0.9397576824972671,4190,2708,2708,1.0,0,5278,5278,1.0,0,1229938,1309294,0.9393902362647351,4190,1235216,1314572,0.9396335841627541,4190
22,1246425,1317280,0.9462111320296368,8501,2708,2708,1.0,0,5278,5278,1.0,0,1238439,1309294,0.9458830484215157,8501,1243717,1314572,0.9461003277112247,8501
23,1247151,1317280,0.9467622677031459,726,2708,2708,1.0,0,5278,5278,1.0,0,1239165,1309294,0.9464375457307526,726,1244443,1314572,0.9466525987165404,726
24,1247253,1317280,0.9468396999878538,102,2708,2708,1.0,0,5278,5278,1.0,0,1239267,1309294,0.9465154503113892,102,1244545,1314572,0.9467301905106758,102
25,1248302,1317280,0.9476360378962712,1049,2708,2708,1.0,0,5278,5278,1.0,0,1240316,1309294,0.9473166454593086,1049,1245594,1314572,0.9475281688640865,1049
26,1269616,1317280,0.963816348840034,21314,2708,2708,1.0,0,5278,5278,1.0,0,1261630,1309294,0.9635956477307618,21314,1266908,1314572,0.9637418110229032,21314
27,1271701,1317280,0.9653991558362687,2085,2708,2708,1.0,0,5278,5278,1.0,0,1263715,1309294,0.9651881090114214,2085,1268993,1314572,0.965327878579492,2085
28,1272415,1317280,0.9659411818292238,714,2708,2708,1.0,0,5278,5278,1.0,0,1264429,1309294,0.9657334410758776,714,1269707,1314572,0.9658710211384389,714
29,1286089,1317280,0.9763216628203572,13674,2708,2708,1.0,0,5278,5278,1.0,0,1278103,1309294,0.9761772375035707,13674,1283381,1314572,0.9762728857757506,13674
30,1286529,1317280,0.9766556844406656,440,2708,2708,1.0,0,5278,5278,1.0,0,1278543,1309294,0.9765132964788658,440,1283821,1314572,0.976607595475942,440
31,1287245,1317280,0.9771992287137131,716,2708,2708,1.0,0,5278,5278,1.0,0,1279259,1309294,0.9770601560841187,716,1284537,1314572,0.9771522594426171,716
32,1287688,1317280,0.9775355277541601,443,2708,2708,1.0,0,5278,5278,1.0,0,1279702,1309294,0.9773985063706089,443,1284980,1314572,0.9774892512544007,443
33,1287794,1317280,0.9776159965990526,106,2708,2708,1.0,0,5278,5278,1.0,0,1279808,1309294,0.9774794660328391,106,1285086,1314572,0.9775698858639922,106
34,1289194,1317280,0.9786787926636706,1400,2708,2708,1.0,0,5278,5278,1.0,0,1281208,1309294,0.9785487445905962,1400,1286486,1314572,0.9786348712736921,1400
35,1290104,1317280,0.9793696101056723,910,2708,2708,1.0,0,5278,5278,1.0,0,1282118,1309294,0.9792437756531382,910,1287396,1314572,0.9793271117899971,910
36,1291542,1317280,0.9804612534920442,1438,2708,2708,1.0,0,5278,5278,1.0,0,1283556,1309294,0.9803420774860344,1438,1288834,1314572,0.9804210039465316,1438
37,1292164,1317280,0.9809334386007531,622,2708,2708,1.0,0,5278,5278,1.0,0,1284178,1309294,0.980817142673838,622,1289456,1314572,0.980894161749984,622
38,1292641,1317280,0.9812955484027693,477,2708,2708,1.0,0,5278,5278,1.0,0,1284655,1309294,0.9811814611538737,477,1289933,1314572,0.9812570174931461,477
39,1293186,1317280,0.9817092797279242,545,2708,2708,1.0,0,5278,5278,1.0,0,1285200,1309294,0.9815977160210007,545,1290478,1314572,0.9816716010990649,545
40,1295499,1317280,0.9834651706546824,2313,2708,2708,1.0,0,5278,5278,1.0,0,1287513,1309294,0.983364316952495,2313,1292791,1314572,0.983431109136662,2313
41,1296114,1317280,0.9839320417830681,615,2708,2708,1.0,0,5278,5278,1.0,0,1288128,1309294,0.9838340357475097,615,1293406,1314572,0.9838989420130658,615
42,1296724,1317280,0.9843951172112231,610,2708,2708,1.0,0,5278,5278,1.0,0,1288738,1309294,0.9842999356905324,610,1294016,1314572,0.9843629713701494,610
43,1296921,1317280,0.9845446678003158,197,2708,2708,1.0,0,5278,5278,1.0,0,1288935,1309294,0.9844503984590168,197,1294213,1314572,0.9845128300313715,197
