epoch,observed_count_all,total_count_all,realized_coverage_all,new_count_all,observed_count_rank0,total_count_rank0,realized_coverage_rank0,new_count_rank0,observed_count_rank1,total_count_rank1,realized_coverage_rank1,new_count_rank1,observed_count_rank2,total_count_rank2,realized_coverage_rank2,new_count_rank2,observed_count_rank1_2,total_count_rank1_2,realized_coverage_rank1_2,new_count_rank1_2
0,0,5298,0.0,0,0,2708,0.0,0,0,2590,0.0,0,0,0,0.0,0,0,2590,0.0,0
1,4600,5298,0.8682521706304266,4600,2708,2708,1.0,2708,1892,2590,0.7305019305019305,1892,0,0,0.0,0,1892,2590,0.7305019305019305,1892
2,4806,5298,0.9071347678369196,206,2708,2708,1.0,0,2098,2590,0.81003861003861,206,0,0,0.0,0,2098,2590,0.81003861003861,206
3,4976,5298,0.9392223480558701,170,2708,2708,1.0,0,2268,2590,0.8756756756756757,170,0,0,0.0,0,2268,2590,0.8756756756756757,170
4,5040,5298,0.9513023782559457,64,2708,2708,1.0,0,2332,2590,0.9003861003861003,64,0,0,0.0,0,2332,2590,0.9003861003861003,64
5,5123,5298,0.9669686674216685,83,2708,2708,1.0,0,2415,2590,0.9324324324324325,83,0,0,0.0,0,2415,2590,0.9324324324324325,83
6,5143,5298,0.9707436768591922,20,2708,2708,1.0,0,2435,2590,0.9401544401544402,20,0,0,0.0,0,2435,2590,0.9401544401544402,20
7,5159,5298,0.973763684409211,16,2708,2708,1.0,0,2451,2590,0.9463320463320464,16,0,0,0.0,0,2451,2590,0.9463320463320464,16
8,5175,5298,0.9767836919592299,16,2708,2708,1.0,0,2467,2590,0.9525096525096525,16,0,0,0.0,0,2467,2590,0.9525096525096525,16
9,5183,5298,0.9782936957342393,8,2708,2708,1.0,0,2475,2590,0.9555984555984556,8,0,0,0.0,0,2475,2590,0.9555984555984556,8
10,5189,5298,0.9794261985654964,6,2708,2708,1.0,0,2481,2590,0.9579150579150579,6,0,0,0.0,0,2481,2590,0.9579150579150579,6
11,5198,5298,0.981124952812382,9,2708,2708,1.0,0,2490,2590,0.9613899613899614,9,0,0,0.0,0,2490,2590,0.9613899613899614,9
12,5206,5298,0.9826349565873914,8,2708,2708,1.0,0,2498,2590,0.9644787644787645,8,0,0,0.0,0,2498,2590,0.9644787644787645,8
13,5218,5298,0.9848999622499056,12,2708,2708,1.0,0,2510,2590,0.9691119691119691,12,0,0,0.0,0,2510,2590,0.9691119691119691,12
14,5223,5298,0.9858437146092865,5,2708,2708,1.0,0,2515,2590,0.971042471042471,5,0,0,0.0,0,2515,2590,0.971042471042471,5
15,5225,5298,0.9862212155530389,2,2708,2708,1.0,0,2517,2590,0.9718146718146718,2,0,0,0.0,0,2517,2590,0.9718146718146718,2
16,5228,5298,0.9867874669686674,3,2708,2708,1.0,0,2520,2590,0.972972972972973,3,0,0,0.0,0,2520,2590,0.972972972972973,3
17,5232,5298,0.9875424688561721,4,2708,2708,1.0,0,2524,2590,0.9745173745173745,4,0,0,0.0,0,2524,2590,0.9745173745173745,4
18,5237,5298,0.9884862212155531,5,2708,2708,1.0,0,2529,2590,0.9764478764478765,5,0,0,0.0,0,2529,2590,0.9764478764478765,5
19,5241,5298,0.9892412231030577,4,2708,2708,1.0,0,2533,2590,0.977992277992278,4,0,0,0.0,0,2533,2590,0.977992277992278,4
20,5243,5298,0.9896187240468102,2,2708,2708,1.0,0,2535,2590,0.9787644787644788,2,0,0,0.0,0,2535,2590,0.9787644787644788,2
21,5244,5298,0.9898074745186863,1,2708,2708,1.0,0,2536,2590,0.9791505791505791,1,0,0,0.0,0,2536,2590,0.9791505791505791,1
22,5246,5298,0.9901849754624387,2,2708,2708,1.0,0,2538,2590,0.9799227799227799,2,0,0,0.0,0,2538,2590,0.9799227799227799,2
23,5249,5298,0.9907512268780672,3,2708,2708,1.0,0,2541,2590,0.981081081081081,3,0,0,0.0,0,2541,2590,0.981081081081081,3
24,5250,5298,0.9909399773499433,1,2708,2708,1.0,0,2542,2590,0.9814671814671815,1,0,0,0.0,0,2542,2590,0.9814671814671815,1
25,5252,5298,0.9913174782936958,2,2708,2708,1.0,0,2544,2590,0.9822393822393822,2,0,0,0.0,0,2544,2590,0.9822393822393822,2
26,5253,5298,0.9915062287655719,1,2708,2708,1.0,0,2545,2590,0.9826254826254827,1,0,0,0.0,0,2545,2590,0.9826254826254827,1
27,5255,5298,0.9918837297093243,2,2708,2708,1.0,0,2547,2590,0.9833976833976834,2,0,0,0.0,0,2547,2590,0.9833976833976834,2
28,5256,5298,0.9920724801812004,1,2708,2708,1.0,0,2548,2590,0.9837837837837838,1,0,0,0.0,0,2548,2590,0.9837837837837838,1
29,5257,5298,0.9922612306530766,1,2708,2708,1.0,0,2549,2590,0.9841698841698842,1,0,0,0.0,0,2549,2590,0.9841698841698842,1
30,5257,5298,0.9922612306530766,0,2708,2708,1.0,0,2549,2590,0.9841698841698842,0,0,0,0.0,0,2549,2590,0.9841698841698842,0
31,5258,5298,0.9924499811249529,1,2708,2708,1.0,0,2550,2590,0.9845559845559846,1,0,0,0.0,0,2550,2590,0.9845559845559846,1
32,5258,5298,0.9924499811249529,0,2708,2708,1.0,0,2550,2590,0.9845559845559846,0,0,0,0.0,0,2550,2590,0.9845559845559846,0
33,5258,5298,0.9924499811249529,0,2708,2708,1.0,0,2550,2590,0.9845559845559846,0,0,0,0.0,0,2550,2590,0.9845559845559846,0
34,5259,5298,0.992638731596829,1,2708,2708,1.0,0,2551,2590,0.9849420849420849,1,0,0,0.0,0,2551,2590,0.9849420849420849,1
35,5259,5298,0.992638731596829,0,2708,2708,1.0,0,2551,2590,0.9849420849420849,0,0,0,0.0,0,2551,2590,0.9849420849420849,0
36,5259,5298,0.992638731596829,0,2708,2708,1.0,0,2551,2590,0.9849420849420849,0,0,0,0.0,0,2551,2590,0.9849420849420849,0
37,5260,5298,0.9928274820687052,1,2708,2708,1.0,0,2552,2590,0.9853281853281853,1,0,0,0.0,0,2552,2590,0.9853281853281853,1
38,5262,5298,0.9932049830124575,2,2708,2708,1.0,0,2554,2590,0.9861003861003861,2,0,0,0.0,0,2554,2590,0.9861003861003861,2
39,5262,5298,0.9932049830124575,0,2708,2708,1.0,0,2554,2590,0.9861003861003861,0,0,0,0.0,0,2554,2590,0.9861003861003861,0
40,5262,5298,0.9932049830124575,0,2708,2708,1.0,0,2554,2590,0.9861003861003861,0,0,0,0.0,0,2554,2590,0.9861003861003861,0
41,5262,5298,0.9932049830124575,0,2708,2708,1.0,0,2554,2590,0.9861003861003861,0,0,0,0.0,0,2554,2590,0.9861003861003861,0
42,5263,5298,0.9933937334843337,1,2708,2708,1.0,0,2555,2590,0.9864864864864865,1,0,0,0.0,0,2555,2590,0.9864864864864865,1
43,5263,5298,0.9933937334843337,0,2708,2708,1.0,0,2555,2590,0.9864864864864865,0,0,0,0.0,0,2555,2590,0.9864864864864865,0
44,5263,5298,0.9933937334843337,0,2708,2708,1.0,0,2555,2590,0.9864864864864865,0,0,0,0.0,0,2555,2590,0.9864864864864865,0
45,5265,5298,0.9937712344280861,2,2708,2708,1.0,0,2557,2590,0.9872586872586873,2,0,0,0.0,0,2557,2590,0.9872586872586873,2
46,5265,5298,0.9937712344280861,0,2708,2708,1.0,0,2557,2590,0.9872586872586873,0,0,0,0.0,0,2557,2590,0.9872586872586873,0
47,5266,5298,0.9939599848999623,1,2708,2708,1.0,0,2558,2590,0.9876447876447877,1,0,0,0.0,0,2558,2590,0.9876447876447877,1
48,5266,5298,0.9939599848999623,0,2708,2708,1.0,0,2558,2590,0.9876447876447877,0,0,0,0.0,0,2558,2590,0.9876447876447877,0
49,5266,5298,0.9939599848999623,0,2708,2708,1.0,0,2558,2590,0.9876447876447877,0,0,0,0.0,0,2558,2590,0.9876447876447877,0
