rank,span,count,fraction,per_epoch_probability,asymptotic_observable
0,1,2708,0.5111362778406946,1.0,1
1,1,1415,0.2670819177047943,1.0,1
1,2,728,0.13741034352585882,0.49206349206349204,1
1,3,279,0.05266138165345413,0.23809523809523808,1
1,4,95,0.01793129482823707,0.1131928181108509,1
1,5,34,0.006417516043790109,0.052823315118397086,1
1,6,13,0.002453756134390336,0.024173381494859682,1
1,7,9,0.0016987542468856172,0.010836343428730202,1
1,8,1,0.00018875047187617969,0.004752782205583422,1
1,9,4,0.0007550018875047187,0.0020369066595357526,1
1,11,4,0.0007550018875047187,0.00034702854199498,1
1,12,1,0.00018875047187617969,0.00013750187513008642,1
1,14,1,0.00018875047187617969,1.9702380297674525e-05,1
1,15,3,0.0005662514156285391,7.092856907162829e-06,1
1,16,1,0.00018875047187617969,2.4607870902401654e-06,1
1,20,1,0.00018875047187617969,2.3016921082521846e-08,1
1,21,1,0.00018875047187617969,6.277342113415049e-09,1
