epoch,expected_coverage_all,observable_ceiling_all,entropy_bits_all,entropy_nats_all,normalized_entropy_bits_all,normalized_entropy_nats_all,expected_coverage_rank0,observable_ceiling_rank0,entropy_bits_rank0,entropy_nats_rank0,normalized_entropy_bits_rank0,normalized_entropy_nats_rank0,expected_coverage_rank1,observable_ceiling_rank1,entropy_bits_rank1,entropy_nats_rank1,normalized_entropy_bits_rank1,normalized_entropy_nats_rank1,expected_coverage_rank2,observable_ceiling_rank2,entropy_bits_rank2,entropy_nats_rank2,normalized_entropy_bits_rank2,normalized_entropy_nats_rank2,expected_coverage_rank1_2,observable_ceiling_rank1_2,entropy_bits_rank1_2,entropy_nats_rank1_2,normalized_entropy_bits_rank1_2,normalized_entropy_nats_rank1_2
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.8608203764876572,1.0,1010.3981390782055,700.3546213450736,0.19071312553382513,0.1321922652595458,1.0,1.0,0.0,0.0,0.0,0.0,0.7152997508229771,1.0,1010.3981390782055,700.3546213450736,0.3901151116132068,0.2704071897085226,0.0,0.0,0.0,0.0,0.0,0.0,0.7152997508229771,1.0,1010.3981390782055,700.3546213450736,0.3901151116132068,0.2704071897085226
2,0.906917241110081,1.0,965.9769509444029,669.5642000330055,0.18232860531226933,0.12638055870762654,1.0,1.0,0.0,0.0,0.0,0.0,0.809593646100859,1.0,965.9769509444048,669.5642000330068,0.37296407372370843,0.25851899615174007,0.0,0.0,0.0,0.0,0.0,0.0,0.809593646100859,1.0,965.9769509444048,669.5642000330068,0.37296407372370843,0.25851899615174007
3,0.9336178612392877,1.0,796.0076662281796,551.7504695501647,0.15024682261762543,0.1041431614854973,1.0,1.0,0.0,0.0,0.0,0.0,0.8642113624886929,1.0,796.0076662281793,551.7504695501644,0.30733886726956733,0.2130310693243878,0.0,0.0,0.0,0.0,0.0,0.0,0.8642113624886929,1.0,796.0076662281793,551.7504695501644,0.30733886726956733,0.2130310693243878
4,0.9498033639813626,1.0,638.076868959583,442.2811826998526,0.12043731010939655,0.08348078193655202,1.0,1.0,0.0,0.0,0.0,0.0,0.8973197769780967,1.0,638.0768689595828,442.28118269985254,0.2463617254670204,0.17076493540534846,0.0,0.0,0.0,0.0,0.0,0.0,0.8973197769780967,1.0,638.0768689595828,442.28118269985254,0.2463617254670204,0.17076493540534846
5,0.9601314845157964,1.0,515.6735631308214,357.43767637342984,0.09733362837501348,0.06746653008181008,1.0,1.0,0.0,0.0,0.0,0.0,0.9184465656234262,1.0,515.673563130821,357.4376763734295,0.1991017618265718,0.13800682485460597,0.0,0.0,0.0,0.0,0.0,0.0,0.9184465656234262,1.0,515.673563130821,357.4376763734295,0.1991017618265718,0.13800682485460597
6,0.9670809855905367,1.0,425.27907950478294,294.7809949098691,0.08027162693559511,0.05564005188936751,1.0,1.0,0.0,0.0,0.0,0.0,0.9326621859686076,1.0,425.2790795047821,294.7809949098685,0.16420041679721317,0.11381505594975619,0.0,0.0,0.0,0.0,0.0,0.0,0.9326621859686076,1.0,425.2790795047821,294.7809949098685,0.16420041679721317,0.11381505594975619
7,0.971998002850218,1.0,358.66730570648696,248.6092317094834,0.06769862319865741,0.046925109797939485,1.0,1.0,0.0,0.0,0.0,0.0,0.9427202390349296,1.0,358.66730570648616,248.60923170948286,0.1384815852148595,0.09598812035115169,0.0,0.0,0.0,0.0,0.0,0.0,0.9427202390349296,1.0,358.66730570648616,248.60923170948286,0.1384815852148595,0.09598812035115169
8,0.9756335627052594,1.0,308.65046426773785,213.9401990857006,0.05825792077533746,0.04038131353070982,1.0,1.0,0.0,0.0,0.0,0.0,0.9501569942905371,1.0,308.6504642677366,213.94019908569976,0.11917006342383653,0.08260239346938214,0.0,0.0,0.0,0.0,0.0,0.0,0.9501569942905371,1.0,308.6504642677366,213.94019908569976,0.11917006342383653,0.08260239346938214
9,0.9784212224490522,1.0,270.0529095981944,187.18641288999822,0.05097261411819449,0.03533152376179657,1.0,1.0,0.0,0.0,0.0,0.0,0.9558593191255136,1.0,270.0529095981944,187.18641288999822,0.10426753266339552,0.0722727462895746,0.0,0.0,0.0,0.0,0.0,0.0,0.9558593191255136,1.0,270.0529095981944,187.18641288999822,0.10426753266339552,0.0722727462895746
