index,task,profile,q,seed,status,exit_code,duration_seconds,gpu,result_dir,plotting_dir
0,simplicial__q01__seed00,simplicial,1,0,success,0,1979.9496712684631,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed00
1,simplicial__q01__seed01,simplicial,1,1,success,0,1980.5411293506622,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed01
2,simplicial__q01__seed02,simplicial,1,2,success,0,1985.6153428554535,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed02
3,simplicial__q01__seed03,simplicial,1,3,success,0,1976.6564252376556,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed03
4,simplicial__q01__seed04,simplicial,1,4,success,0,1985.183609008789,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed04
5,simplicial__q01__seed05,simplicial,1,5,success,0,1978.2358465194702,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed05
6,simplicial__q01__seed06,simplicial,1,6,success,0,1983.584665775299,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed06
7,simplicial__q01__seed07,simplicial,1,7,success,0,1982.0797612667084,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed07
8,simplicial__q01__seed08,simplicial,1,8,success,0,1982.2666115760803,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed08
9,simplicial__q01__seed09,simplicial,1,9,success,0,1980.670389175415,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q01/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q01/seed09
10,simplicial__q02__seed00,simplicial,2,0,success,0,952.7807009220123,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed00
11,simplicial__q02__seed01,simplicial,2,1,success,0,947.2890613079071,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed01
12,simplicial__q02__seed02,simplicial,2,2,success,0,950.9807786941528,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed02
13,simplicial__q02__seed03,simplicial,2,3,success,0,952.5712506771088,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed03
14,simplicial__q02__seed04,simplicial,2,4,success,0,948.9945681095123,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed04
15,simplicial__q02__seed05,simplicial,2,5,success,0,946.9862985610962,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed05
16,simplicial__q02__seed06,simplicial,2,6,success,0,951.0879328250885,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed06
17,simplicial__q02__seed07,simplicial,2,7,success,0,941.8771572113037,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed07
18,simplicial__q02__seed08,simplicial,2,8,success,0,941.1084327697754,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed08
19,simplicial__q02__seed09,simplicial,2,9,success,0,945.2455787658691,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q02/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q02/seed09
20,simplicial__q04__seed00,simplicial,4,0,success,0,500.5763111114502,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed00
21,simplicial__q04__seed01,simplicial,4,1,success,0,492.53323340415955,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed01
22,simplicial__q04__seed02,simplicial,4,2,success,0,491.81431555747986,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed02
23,simplicial__q04__seed03,simplicial,4,3,success,0,493.5076367855072,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed03,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed03
24,simplicial__q04__seed04,simplicial,4,4,success,0,495.64499950408936,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed04,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed04
25,simplicial__q04__seed05,simplicial,4,5,success,0,497.9915518760681,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed05,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed05
26,simplicial__q04__seed06,simplicial,4,6,success,0,492.94168615341187,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed06,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed06
27,simplicial__q04__seed07,simplicial,4,7,success,0,493.1674418449402,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed07,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed07
28,simplicial__q04__seed08,simplicial,4,8,success,0,491.92277431488037,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed08,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed08
29,simplicial__q04__seed09,simplicial,4,9,success,0,491.7757420539856,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q04/seed09,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q04/seed09
30,simplicial__q08__seed00,simplicial,8,0,success,0,272.29469633102417,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed00,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed00
31,simplicial__q08__seed01,simplicial,8,1,success,0,271.90373849868774,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed01,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed01
32,simplicial__q08__seed02,simplicial,8,2,success,0,265.14202332496643,0,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results/cora_np64_sweep/simplicial/q08/seed02,/mnt/imos-students/leko/projects/tb_experiments/scripts/structural_coverage/results_for_plotting/cora_np64_sweep/simplicial/q08/seed02
