epoch,expected_coverage_all,observable_ceiling_all,entropy_bits_all,entropy_nats_all,normalized_entropy_bits_all,normalized_entropy_nats_all,expected_coverage_rank0,observable_ceiling_rank0,entropy_bits_rank0,entropy_nats_rank0,normalized_entropy_bits_rank0,normalized_entropy_nats_rank0,expected_coverage_rank1,observable_ceiling_rank1,entropy_bits_rank1,entropy_nats_rank1,normalized_entropy_bits_rank1,normalized_entropy_nats_rank1,expected_coverage_rank2,observable_ceiling_rank2,entropy_bits_rank2,entropy_nats_rank2,normalized_entropy_bits_rank2,normalized_entropy_nats_rank2,expected_coverage_rank1_2,observable_ceiling_rank1_2,entropy_bits_rank1_2,entropy_nats_rank1_2,normalized_entropy_bits_rank1_2,normalized_entropy_nats_rank1_2
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.8350307730843132,1.0,445.03368469016465,308.4738437971913,0.04628054125313692,0.032079226684400095,1.0,1.0,0.0,0.0,0.0,0.0,0.7675887331059981,1.0,355.73971081055106,246.57997756154376,0.06740047571249547,0.0467184497085153,0.7793390065307719,1.0,89.29397387960631,61.89386623564251,0.05478157906724314,0.0379716970770813,0.7703613077560374,1.0,445.03368469016465,308.4738437971913,0.06442294219602847,0.044654580746553464
2,0.8426232778365162,1.0,719.3160093176127,498.5918637901346,0.0748040775080712,0.051850235419107174,1.0,1.0,0.0,0.0,0.0,0.0,0.7786559362914262,1.0,574.8447939311177,398.452048172917,0.10891337512904845,0.0754929988959676,0.7882941152942697,1.0,144.47121538649884,100.13981561722026,0.08863264747637965,0.061435469703816116,0.7809301447127813,1.0,719.3160093176127,498.5918637901346,0.10412796892264226,0.07217600807616309
3,0.8498546390025545,1.0,925.4811172030264,641.4946270507461,0.09624387658101356,0.0667111716982889,1.0,1.0,0.0,0.0,0.0,0.0,0.7891961298013314,1.0,739.440243854343,512.5409202201962,0.1400985683695231,0.09710892766581966,0.7968251751882185,1.0,186.04087334866662,128.95370683053812,0.11413550512188136,0.07911270357701726,0.7909962664517056,1.0,925.4811172030264,641.4946270507461,0.13397236786378494,0.09286256905772236
4,0.8567420532750012,1.0,1086.9627920148737,753.4251946586759,0.11303689600820234,0.07835120576733318,1.0,1.0,0.0,0.0,0.0,0.0,0.7992344093345828,1.0,868.2784166691855,601.8447364552993,0.16450898383273693,0.11402893832044322,0.804952375352528,1.0,218.68437534568895,151.5804582033771,0.13416219346361286,0.09299414613704117,0.8005836109282654,1.0,1086.9627920148737,753.4251946586759,0.15734840648738763,0.10906560432233293
5,0.8633018984574631,1.0,1215.4769526658295,842.5044227759138,0.1264015133803899,0.08761485261812747,1.0,1.0,0.0,0.0,0.0,0.0,0.8087946755567519,1.0,970.7351474708537,672.862330539865,0.18392102074097266,0.12748433697231243,0.81269494354509,1.0,244.7418051949601,169.64209223603797,0.1501483467453743,0.10407490321229323,0.8097149761967243,1.0,1215.4769526658295,842.5044227759138,0.1759520776875839,0.12196068656281323
6,0.8695497724589267,1.0,1318.2347658134302,913.7307112396788,0.13708764203550647,0.09502191256652234,1.0,1.0,0.0,0.0,0.0,0.0,0.8178996910064436,1.0,1052.581496160716,729.5938963733691,0.199428097036892,0.13823302318555686,0.820071191921928,1.0,265.6532696527065,184.1368148663044,0.16297746604460522,0.11296737108362233,0.8184120746909248,1.0,1318.2347658134302,913.7307112396788,0.19082726777843517,0.13227138263458002
7,0.8755005304317047,1.0,1400.1840211146339,970.5336065006953,0.1456098191674952,0.10092903561779278,1.0,1.0,0.0,0.0,0.0,0.0,0.8265711342918419,1.0,1117.7772761198407,774.7841674364431,0.21178046156116725,0.14679502982880696,0.8270985606372421,1.0,282.40674499483026,195.74943906427805,0.17325567177596948,0.12009168040753254,0.8266955849205512,1.0,1400.1840211146339,970.5336065006953,0.20269021730090242,0.14049415264920315
8,0.881168320140985,1.0,1464.954683794747,1015.4292087204151,0.1523455370002857,0.10559787944263883,1.0,1.0,0.0,0.0,0.0,0.0,0.8348296517065337,1.0,1169.2276925709004,810.4468785381301,0.22152855107444117,0.15355189059077873,0.8337936593672932,1.0,295.72699122384273,204.98233018228228,0.18142760197781763,0.12575603078667624,0.8345852007058148,1.0,1464.954683794747,1015.4292087204151,0.21206639892801782,0.14699322650845614
9,0.8865666156497504,1.0,1515.3327906825098,1050.3486514716153,0.15758452482139246,0.10922926907982689,1.0,1.0,0.0,0.0,0.0,0.0,0.8426949063871697,1.0,1209.1625655461226,838.1276231469249,0.22909484000494934,0.1587964424302624,0.8401723068569579,1.0,306.17022513637744,212.22102832468372,0.1878344939486978,0.13019694989244399,0.842099678067192,1.0,1515.3327906825098,1050.3486514716153,0.2193591185122336,0.15204815452686962
