epoch,observed_count_all,total_count_all,realized_coverage_all,new_count_all,observed_count_rank0,total_count_rank0,realized_coverage_rank0,new_count_rank0,observed_count_rank1,total_count_rank1,realized_coverage_rank1,new_count_rank1,observed_count_rank2,total_count_rank2,realized_coverage_rank2,new_count_rank2,observed_count_rank1_2,total_count_rank1_2,realized_coverage_rank1_2,new_count_rank1_2
0,0,9616,0.0,0,0,2708,0.0,0,0,5278,0.0,0,0,1630,0.0,0,0,6908,0.0,0
1,8264,9616,0.8594009983361065,8264,2708,2708,1.0,2708,4228,5278,0.8010610079575596,4228,1328,1630,0.8147239263803681,1328,5556,6908,0.8042848870874348,5556
2,8429,9616,0.8765599001663894,165,2708,2708,1.0,0,4358,5278,0.8256915498294809,130,1363,1630,0.8361963190184049,35,5721,6908,0.8281702374059062,165
3,8559,9616,0.8900790349417638,130,2708,2708,1.0,0,4455,5278,0.8440697233800682,97,1396,1630,0.8564417177914111,33,5851,6908,0.8469889982628837,130
4,8623,9616,0.896734608985025,64,2708,2708,1.0,0,4515,5278,0.8554376657824934,60,1400,1630,0.8588957055214724,4,5915,6908,0.8562536189924725,64
5,8723,9616,0.9071339434276207,100,2708,2708,1.0,0,4603,5278,0.872110647972717,88,1412,1630,0.8662576687116564,12,6015,6908,0.8707295888824551,100
6,8869,9616,0.9223169717138103,146,2708,2708,1.0,0,4710,5278,0.8923834785903751,107,1451,1630,0.8901840490797546,39,6161,6908,0.8918645049218298,146
7,8997,9616,0.9356281198003328,128,2708,2708,1.0,0,4818,5278,0.9128457749147404,108,1471,1630,0.9024539877300614,20,6289,6908,0.9103937463810076,128
8,9078,9616,0.9440515806988353,81,2708,2708,1.0,0,4887,5278,0.9259189086775294,69,1483,1630,0.9098159509202454,12,6370,6908,0.9221192819918934,81
9,9113,9616,0.9476913477537438,35,2708,2708,1.0,0,4920,5278,0.9321712769988632,33,1485,1630,0.911042944785276,2,6405,6908,0.9271858714533874,35
10,9269,9616,0.963914309484193,156,2708,2708,1.0,0,5014,5278,0.9499810534293293,94,1547,1630,0.949079754601227,62,6561,6908,0.9497683844817603,156
11,9303,9616,0.9674500831946755,34,2708,2708,1.0,0,5045,5278,0.955854490337249,31,1550,1630,0.950920245398773,3,6595,6908,0.9546902142443544,34
12,9333,9616,0.9705698835274542,30,2708,2708,1.0,0,5075,5278,0.9615384615384616,30,1550,1630,0.950920245398773,0,6625,6908,0.9590330052113492,30
13,9364,9616,0.9737936772046589,31,2708,2708,1.0,0,5098,5278,0.9658961727927245,23,1558,1630,0.9558282208588957,8,6656,6908,0.9635205558772437,31
14,9394,9616,0.9769134775374376,30,2708,2708,1.0,0,5124,5278,0.9708222811671088,26,1562,1630,0.9582822085889571,4,6686,6908,0.9678633468442386,30
15,9418,9616,0.9794093178036606,24,2708,2708,1.0,0,5147,5278,0.9751799924213718,23,1563,1630,0.9588957055214724,1,6710,6908,0.9713375796178344,24
16,9437,9616,0.9813851913477537,19,2708,2708,1.0,0,5165,5278,0.9785903751420992,18,1564,1630,0.9595092024539877,1,6729,6908,0.9740880138969311,19
17,9446,9616,0.9823211314475874,9,2708,2708,1.0,0,5172,5278,0.9799166350890489,7,1566,1630,0.9607361963190184,2,6738,6908,0.9753908511870295,9
18,9454,9616,0.983153078202995,8,2708,2708,1.0,0,5180,5278,0.9814323607427056,8,1566,1630,0.9607361963190184,0,6746,6908,0.9765489287782282,8
19,9457,9616,0.9834650582362728,3,2708,2708,1.0,0,5183,5278,0.9820007578628268,3,1566,1630,0.9607361963190184,0,6749,6908,0.9769832078749277,3
20,9461,9616,0.9838810316139767,4,2708,2708,1.0,0,5186,5278,0.9825691549829481,3,1567,1630,0.9613496932515337,1,6753,6908,0.9775622466705269,4
21,9473,9616,0.9851289517470881,12,2708,2708,1.0,0,5198,5278,0.9848427434634331,12,1567,1630,0.9613496932515337,0,6765,6908,0.9792993630573248,12
22,9496,9616,0.9875207986688852,23,2708,2708,1.0,0,5217,5278,0.9884425918908678,19,1571,1630,0.9638036809815951,4,6788,6908,0.9826288361320209,23
23,9502,9616,0.9881447587354409,6,2708,2708,1.0,0,5223,5278,0.9895793861311103,6,1571,1630,0.9638036809815951,0,6794,6908,0.9834973943254198,6
24,9505,9616,0.9884567387687188,3,2708,2708,1.0,0,5226,5278,0.9901477832512315,3,1571,1630,0.9638036809815951,0,6797,6908,0.9839316734221193,3
25,9506,9616,0.9885607321131448,1,2708,2708,1.0,0,5227,5278,0.9903372489579386,1,1571,1630,0.9638036809815951,0,6798,6908,0.9840764331210191,1
26,9520,9616,0.9900166389351082,14,2708,2708,1.0,0,5236,5278,0.9920424403183024,9,1576,1630,0.9668711656441717,5,6812,6908,0.9861030689056167,14
27,9524,9616,0.990432612312812,4,2708,2708,1.0,0,5239,5278,0.9926108374384236,3,1577,1630,0.9674846625766871,1,6816,6908,0.986682107701216,4
28,9531,9616,0.9911605657237936,7,2708,2708,1.0,0,5245,5278,0.9937476316786662,6,1578,1630,0.9680981595092024,1,6823,6908,0.9876954255935148,7
29,9536,9616,0.9916805324459235,5,2708,2708,1.0,0,5250,5278,0.9946949602122016,5,1578,1630,0.9680981595092024,0,6828,6908,0.9884192240880139,5
30,9536,9616,0.9916805324459235,0,2708,2708,1.0,0,5250,5278,0.9946949602122016,0,1578,1630,0.9680981595092024,0,6828,6908,0.9884192240880139,0
31,9540,9616,0.9920965058236273,4,2708,2708,1.0,0,5252,5278,0.9950738916256158,2,1580,1630,0.9693251533742331,2,6832,6908,0.9889982628836133,4
32,9548,9616,0.992928452579035,8,2708,2708,1.0,0,5256,5278,0.9958317544524441,4,1584,1630,0.9717791411042945,4,6840,6908,0.9901563404748118,8
33,9558,9616,0.9939683860232945,10,2708,2708,1.0,0,5263,5278,0.9971580143993937,7,1587,1630,0.9736196319018405,3,6850,6908,0.99160393746381,10
34,9558,9616,0.9939683860232945,0,2708,2708,1.0,0,5263,5278,0.9971580143993937,0,1587,1630,0.9736196319018405,0,6850,6908,0.99160393746381,0
35,9558,9616,0.9939683860232945,0,2708,2708,1.0,0,5263,5278,0.9971580143993937,0,1587,1630,0.9736196319018405,0,6850,6908,0.99160393746381,0
36,9560,9616,0.9941763727121464,2,2708,2708,1.0,0,5265,5278,0.9975369458128078,2,1587,1630,0.9736196319018405,0,6852,6908,0.9918934568616097,2
37,9560,9616,0.9941763727121464,0,2708,2708,1.0,0,5265,5278,0.9975369458128078,0,1587,1630,0.9736196319018405,0,6852,6908,0.9918934568616097,0
38,9562,9616,0.9943843594009983,2,2708,2708,1.0,0,5267,5278,0.9979158772262221,2,1587,1630,0.9736196319018405,0,6854,6908,0.9921829762594094,2
39,9563,9616,0.9944883527454242,1,2708,2708,1.0,0,5268,5278,0.9981053429329292,1,1587,1630,0.9736196319018405,0,6855,6908,0.9923277359583093,1
40,9564,9616,0.9945923460898503,1,2708,2708,1.0,0,5269,5278,0.9982948086396363,1,1587,1630,0.9736196319018405,0,6856,6908,0.9924724956572091,1
41,9564,9616,0.9945923460898503,0,2708,2708,1.0,0,5269,5278,0.9982948086396363,0,1587,1630,0.9736196319018405,0,6856,6908,0.9924724956572091,0
42,9565,9616,0.9946963394342762,1,2708,2708,1.0,0,5269,5278,0.9982948086396363,0,1588,1630,0.9742331288343559,1,6857,6908,0.9926172553561089,1
43,9569,9616,0.99511231281198,4,2708,2708,1.0,0,5272,5278,0.9988632057597575,3,1589,1630,0.9748466257668712,1,6861,6908,0.9931962941517082,4
44,9572,9616,0.9954242928452579,3,2708,2708,1.0,0,5272,5278,0.9988632057597575,0,1592,1630,0.9766871165644172,3,6864,6908,0.9936305732484076,3
45,9573,9616,0.9955282861896838,1,2708,2708,1.0,0,5273,5278,0.9990526714664646,1,1592,1630,0.9766871165644172,0,6865,6908,0.9937753329473075,1
46,9573,9616,0.9955282861896838,0,2708,2708,1.0,0,5273,5278,0.9990526714664646,0,1592,1630,0.9766871165644172,0,6865,6908,0.9937753329473075,0
47,9574,9616,0.9956322795341098,1,2708,2708,1.0,0,5274,5278,0.9992421371731717,1,1592,1630,0.9766871165644172,0,6866,6908,0.9939200926462073,1
48,9574,9616,0.9956322795341098,0,2708,2708,1.0,0,5274,5278,0.9992421371731717,0,1592,1630,0.9766871165644172,0,6866,6908,0.9939200926462073,0
49,9574,9616,0.9956322795341098,0,2708,2708,1.0,0,5274,5278,0.9992421371731717,0,1592,1630,0.9766871165644172,0,6866,6908,0.9939200926462073,0
50,9574,9616,0.9956322795341098,0,2708,2708,1.0,0,5274,5278,0.9992421371731717,0,1592,1630,0.9766871165644172,0,6866,6908,0.9939200926462073,0
51,9575,9616,0.9957362728785357,1,2708,2708,1.0,0,5275,5278,0.9994316028798788,1,1592,1630,0.9766871165644172,0,6867,6908,0.9940648523451071,1
52,9575,9616,0.9957362728785357,0,2708,2708,1.0,0,5275,5278,0.9994316028798788,0,1592,1630,0.9766871165644172,0,6867,6908,0.9940648523451071,0
53,9575,9616,0.9957362728785357,0,2708,2708,1.0,0,5275,5278,0.9994316028798788,0,1592,1630,0.9766871165644172,0,6867,6908,0.9940648523451071,0
54,9576,9616,0.9958402662229617,1,2708,2708,1.0,0,5276,5278,0.9996210685865858,1,1592,1630,0.9766871165644172,0,6868,6908,0.9942096120440069,1
55,9578,9616,0.9960482529118136,2,2708,2708,1.0,0,5276,5278,0.9996210685865858,0,1594,1630,0.9779141104294479,2,6870,6908,0.9944991314418066,2
